Designator,Footprint,Quantity,Value,LCSC Part #
BB1,oled_128X64_no_holes,1,oled_128x32,
BZ1,buzz_8x14,1,buzz_8x14,
"C1, C2",0805,2,100nF,
"D1, D2",led_tx1812cxa_5050,2,led_tx1812cxa_5050,
"D3, D4",LED_D3.0mm,2,yellow,
"J1, J2",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"J10, J9",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,2,Conn_01x02_Pin,
"J11, J12","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",2,Screw_Terminal_01x02,
"J3, J4, J5, J6, J7, J8",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03_Pin,
R1,0805,1,4K7,
"R10, R2, R3, R6, R7, R8",0805,6,10k,
"R4, R5, R9",0805,3,1k,
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Omron_B3FS,
U1,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
U2,SK12D07VG4,1,SK12D07VG4,
