Designator,Footprint,Quantity,Value,LCSC Part #
BB1,oled_128X64_no_holes,1,oled_128x32,
BZ1,buzz_8x14,1,buzz_8x14,
BZ2,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,BUZZER,
"C1, C2, C3, C4",0805,4,100nF,
"D1, D2",D_SOD-123F,2,1N4007,
"D10, D11, D12, D9",led_tx1812cxa_5050,4,led_tx1812cxa_5050,
"D3, D4",0805,2,yellow,
D5,0805,1,green,
D6,LED_D3.0mm,1,green,
D7,LED_D3.0mm,1,blue,
D8,0805,1,blue,
H1,MountingHole_3.2mm_M3_Pad_Via,1,MountingHole,
"J1, J11, J2","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",3,Screw_Terminal_01x02,
J10,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J4, J5, J6, J7, J8, J9",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03_Pin,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,SolderJumper_2_Open,
"Q1, Q2",SOT-23_Handsoldering,2,2N7002,
"R1, R13, R2, R3, R4",0805,5,1k,
"R10, R11, R12, R5, R6, R8, R9",0805,7,10K,
"R14, R7",0805,2,4K7,
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Omron_B3FS,
U1,SK12D07VG4,1,SK12D07VG4,
U2,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
